Country name;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
Slovenia;0.948;71.4;0.949;-0.101;0.806
Kosovo;0.821;63.813;0.869;0.257;0.917
Slovakia;0.936;69.201;0.766;-0.124;0.911
Lithuania;0.935;67.906;0.773;-0.203;0.826
Estonia;0.941;68.8;0.909;-0.106;0.527
Poland;0.898;69.702;0.841;-0.165;0.735
Romania;0.832;67.355;0.845;-0.219;0.938
Serbia;0.873;68.6;0.778;0.002;0.835
Latvia;0.927;67.1;0.715;-0.162;0.8
Hungary;0.943;68.0;0.755;-0.186;0.876
Croatia;0.924;70.799;0.754;-0.118;0.939
Bosnia and Herzegovina;0.87;68.098;0.706;0.113;0.931
Montenegro;0.858;68.699;0.708;-0.034;0.812
Bulgaria;0.931;67.0;0.788;-0.096;0.932
Albania;0.697;68.999;0.785;-0.03;0.901
North Macedonia;0.805;65.474;0.751;0.038;0.905
