Country name;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
Guatemala;0.813;64.958;0.906;-0.038;0.775
Uruguay;0.925;69.1;0.896;-0.092;0.59
Brazil;0.882;66.601;0.804;-0.071;0.756
Mexico;0.831;68.597;0.862;-0.147;0.799
Jamaica;0.877;67.5;0.89;-0.137;0.884
Panama;0.896;69.652;0.872;-0.166;0.856
Chile;0.882;70.0;0.742;-0.044;0.83
El Salvador;0.762;66.402;0.888;-0.11;0.688
Colombia;0.847;68.001;0.837;-0.135;0.841
Nicaragua;0.864;67.657;0.836;0.02;0.664
Argentina;0.898;69.0;0.828;-0.182;0.834
Honduras;0.812;67.3;0.857;0.081;0.809
Peru;0.832;68.25;0.822;-0.154;0.891
Ecuador;0.821;68.8;0.842;-0.124;0.843
Bolivia;0.81;63.901;0.875;-0.077;0.839
Paraguay;0.893;65.9;0.876;0.028;0.882
Dominican Republic;0.853;66.102;0.86;-0.133;0.714
Venezuela;0.861;66.7;0.615;-0.169;0.827
Haiti;0.54;55.7;0.593;0.422;0.721
