Country name;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
Congo (Brazzaville);0.636;58.221;0.695;-0.068;0.745
Ivory Coast;0.644;50.114;0.741;-0.016;0.794
Cameroon;0.71;53.515;0.731;0.026;0.848
Senegal;0.71;59.802;0.695;-0.046;0.801
Ghana;0.727;57.586;0.807;0.123;0.848
Niger;0.641;53.78;0.806;0.018;0.693
Gambia;0.69;55.16;0.697;0.424;0.746
Benin;0.489;54.713;0.757;-0.034;0.661
Guinea;0.639;55.008;0.697;0.095;0.766
South Africa;0.86;56.904;0.749;-0.067;0.86
Gabon;0.776;59.962;0.731;-0.2;0.84
Burkina Faso;0.672;54.151;0.695;-0.009;0.748
Mozambique;0.744;54.706;0.882;0.061;0.684
Nigeria;0.74;50.102;0.737;0.037;0.878
Mali;0.724;51.969;0.697;-0.036;0.827
Uganda;0.781;56.101;0.709;0.122;0.855
Liberia;0.72;56.498;0.735;0.05;0.85
Kenya;0.688;60.704;0.779;0.287;0.825
Namibia;0.818;56.799;0.719;-0.149;0.847
Chad;0.619;48.478;0.579;0.041;0.807
Swaziland;0.77;50.833;0.647;-0.185;0.708
Comoros;0.626;57.349;0.548;0.082;0.781
Ethiopia;0.764;59.0;0.752;0.082;0.761
Mauritania;0.795;57.161;0.561;-0.106;0.731
Madagascar;0.686;59.305;0.552;-0.005;0.803
Togo;0.569;54.914;0.619;0.032;0.772
Zambia;0.708;55.809;0.782;0.061;0.823
Sierra Leone;0.63;51.651;0.717;0.084;0.866
Burundi;0.49;53.4;0.626;-0.024;0.607
Tanzania;0.702;57.999;0.833;0.183;0.577
Malawi;0.537;57.948;0.78;0.038;0.729
Lesotho;0.787;48.7;0.715;-0.131;0.915
Botswana;0.784;59.269;0.824;-0.246;0.801
Rwanda;0.552;61.4;0.897;0.061;0.167
Zimbabwe;0.75;56.201;0.677;-0.047;0.821
