Country name;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
Finland;0.954;72.0;0.949;-0.098;0.186
Denmark;0.954;72.7;0.946;0.03;0.179
Switzerland;0.942;74.4;0.919;0.025;0.292
Iceland;0.983;73.0;0.955;0.16;0.673
Netherlands;0.942;72.4;0.913;0.175;0.338
Norway;0.954;73.3;0.96;0.093;0.27
Sweden;0.934;72.7;0.945;0.086;0.237
Luxembourg;0.908;72.6;0.907;-0.034;0.386
Austria;0.934;73.3;0.908;0.042;0.481
Germany;0.903;72.5;0.875;0.011;0.46
Ireland;0.947;72.4;0.879;0.077;0.363
United Kingdom;0.934;72.5;0.859;0.233;0.459
Belgium;0.906;72.199;0.783;-0.153;0.646
France;0.942;74.0;0.822;-0.147;0.571
Malta;0.931;72.2;0.927;0.133;0.653
Spain;0.932;74.7;0.761;-0.081;0.745
Italy;0.88;73.8;0.693;-0.084;0.866
Cyprus;0.802;73.898;0.763;-0.015;0.844
Portugal;0.879;72.6;0.892;-0.244;0.887
Greece;0.823;72.6;0.582;-0.288;0.823
North Cyprus;0.82;73.898;0.795;0.012;0.626
